RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
24324,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
20164,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,0.0
7536,$50.001 A $100.000,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
12867,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
20478,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,0.0
10140,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10900,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,0.0
40027,GRATUITO,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$50.001 A $100.000,0.0
2375,$1.000 A $10.000,$10.001 A $25.000,GRATUITO,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
8604,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,0.0
26311,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
9228,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
22356,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,0.0
40155,GRATUITO,$50.001 A $100.000,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14280,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,$1.000 A $10.000,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,0.0
25,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,0.0
20041,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
40042,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$25.001 A $50.000,0.0
14381,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,0.0
6120,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
10833,GRATUITO,$10.001 A $25.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
12001,MAS DE $100.000,MAS DE $100.000,GRATUITO,$10.001 A $25.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,0.0
10512,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,$10.001 A $25.000,MAS DE $100.000,MAS DE $100.000,0.0
5669,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
31499,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,SIN INFORMACION,SIN INFORMACION,0.0
25599,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,$50.001 A $100.000,0.0
26305,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
31267,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
24986,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
17915,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26383,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
40202,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
6270,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
16587,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
7441,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
